[rl] Using Torch backend
INFO:train.py:Using configuration: banana
INFO:train.py:Using seed = 0
INFO:train.py:Running in headless mode
DEBUG:unityagents:The true file name is Banana
INFO:unityagents:
'Academy' started successfully!
Unity Academy name: Academy
        Number of Brains: 1
        Number of External Brains : 1
        Lesson number : 0
        Reset Parameters :
		
Unity brain name: BananaBrain
        Number of Visual Observations (per agent): 0
        Vector Observation space type: continuous
        Vector Observation space size (per agent): 37
        Number of stacked Vector Observation: 1
        Vector Action space type: discrete
        Vector Action space size (per agent): 4
        Vector Action descriptions: , , , 
INFO:root:Checkpoint dir : checkpoints/banana
DEBUG:simulator.py:[Training 97/1000 episodes] ε: 0.6180, Best: -inf, Avg: 0.55, Steps: 300
DEBUG:simulator.py:[Training 98/1000 episodes] ε: 0.6149, Best: -inf, Avg: 0.55, Steps: 300
DEBUG:simulator.py:[Training 99/1000 episodes] ε: 0.6119, Best: -inf, Avg: 0.55, Steps: 300
DEBUG:simulator.py:[Training 100/1000 episodes] ε: 0.6088, Best: 0.54, Avg: 0.54, Steps: 300
DEBUG:simulator.py:[Training 101/1000 episodes] ε: 0.6058, Best: 0.56, Avg: 0.56, Steps: 300
DEBUG:simulator.py:[Training 102/1000 episodes] ε: 0.6027, Best: 0.56, Avg: 0.55, Steps: 300
DEBUG:simulator.py:[Training 103/1000 episodes] ε: 0.5997, Best: 0.58, Avg: 0.58, Steps: 300
DEBUG:simulator.py:[Training 104/1000 episodes] ε: 0.5967, Best: 0.63, Avg: 0.63, Steps: 300
DEBUG:simulator.py:[Training 105/1000 episodes] ε: 0.5937, Best: 0.66, Avg: 0.66, Steps: 300
DEBUG:simulator.py:[Training 106/1000 episodes] ε: 0.5908, Best: 0.68, Avg: 0.68, Steps: 300
DEBUG:simulator.py:[Training 107/1000 episodes] ε: 0.5878, Best: 0.70, Avg: 0.70, Steps: 300
DEBUG:simulator.py:[Training 108/1000 episodes] ε: 0.5849, Best: 0.78, Avg: 0.78, Steps: 300
DEBUG:simulator.py:[Training 109/1000 episodes] ε: 0.5820, Best: 0.78, Avg: 0.78, Steps: 300
DEBUG:simulator.py:[Training 110/1000 episodes] ε: 0.5790, Best: 0.80, Avg: 0.80, Steps: 300
DEBUG:simulator.py:[Training 111/1000 episodes] ε: 0.5762, Best: 0.80, Avg: 0.79, Steps: 300
DEBUG:simulator.py:[Training 112/1000 episodes] ε: 0.5733, Best: 0.80, Avg: 0.77, Steps: 300
DEBUG:simulator.py:[Training 113/1000 episodes] ε: 0.5704, Best: 0.80, Avg: 0.80, Steps: 300
DEBUG:simulator.py:[Training 114/1000 episodes] ε: 0.5676, Best: 0.82, Avg: 0.82, Steps: 300
DEBUG:simulator.py:[Training 115/1000 episodes] ε: 0.5647, Best: 0.84, Avg: 0.84, Steps: 300
DEBUG:simulator.py:[Training 116/1000 episodes] ε: 0.5619, Best: 0.84, Avg: 0.81, Steps: 300
DEBUG:simulator.py:[Training 117/1000 episodes] ε: 0.5591, Best: 0.84, Avg: 0.84, Steps: 300
DEBUG:simulator.py:[Training 118/1000 episodes] ε: 0.5563, Best: 0.87, Avg: 0.87, Steps: 300
DEBUG:simulator.py:[Training 119/1000 episodes] ε: 0.5535, Best: 0.91, Avg: 0.91, Steps: 300
DEBUG:simulator.py:[Training 120/1000 episodes] ε: 0.5507, Best: 0.97, Avg: 0.97, Steps: 300
DEBUG:simulator.py:[Training 121/1000 episodes] ε: 0.5480, Best: 0.97, Avg: 0.97, Steps: 300
DEBUG:simulator.py:[Training 122/1000 episodes] ε: 0.5452, Best: 0.98, Avg: 0.98, Steps: 300
DEBUG:simulator.py:[Training 123/1000 episodes] ε: 0.5425, Best: 1.03, Avg: 1.03, Steps: 300
DEBUG:simulator.py:[Training 124/1000 episodes] ε: 0.5398, Best: 1.04, Avg: 1.04, Steps: 300
DEBUG:simulator.py:[Training 125/1000 episodes] ε: 0.5371, Best: 1.05, Avg: 1.05, Steps: 300
DEBUG:simulator.py:[Training 126/1000 episodes] ε: 0.5344, Best: 1.06, Avg: 1.06, Steps: 300
DEBUG:simulator.py:[Training 127/1000 episodes] ε: 0.5318, Best: 1.10, Avg: 1.10, Steps: 300
DEBUG:simulator.py:[Training 128/1000 episodes] ε: 0.5291, Best: 1.21, Avg: 1.21, Steps: 300
DEBUG:simulator.py:[Training 129/1000 episodes] ε: 0.5264, Best: 1.23, Avg: 1.23, Steps: 300
DEBUG:simulator.py:[Training 130/1000 episodes] ε: 0.5238, Best: 1.24, Avg: 1.24, Steps: 300
DEBUG:simulator.py:[Training 131/1000 episodes] ε: 0.5212, Best: 1.30, Avg: 1.30, Steps: 300
DEBUG:simulator.py:[Training 132/1000 episodes] ε: 0.5186, Best: 1.33, Avg: 1.33, Steps: 300
DEBUG:simulator.py:[Training 133/1000 episodes] ε: 0.5160, Best: 1.33, Avg: 1.31, Steps: 300
DEBUG:simulator.py:[Training 134/1000 episodes] ε: 0.5134, Best: 1.38, Avg: 1.38, Steps: 300
DEBUG:simulator.py:[Training 135/1000 episodes] ε: 0.5108, Best: 1.42, Avg: 1.42, Steps: 300
DEBUG:simulator.py:[Training 136/1000 episodes] ε: 0.5083, Best: 1.42, Avg: 1.42, Steps: 300
DEBUG:simulator.py:[Training 137/1000 episodes] ε: 0.5058, Best: 1.45, Avg: 1.45, Steps: 300
DEBUG:simulator.py:[Training 138/1000 episodes] ε: 0.5032, Best: 1.50, Avg: 1.50, Steps: 300
DEBUG:simulator.py:[Training 139/1000 episodes] ε: 0.5007, Best: 1.50, Avg: 1.50, Steps: 300
DEBUG:simulator.py:[Training 140/1000 episodes] ε: 0.4982, Best: 1.50, Avg: 1.49, Steps: 300
DEBUG:simulator.py:[Training 141/1000 episodes] ε: 0.4957, Best: 1.58, Avg: 1.58, Steps: 300
DEBUG:simulator.py:[Training 142/1000 episodes] ε: 0.4932, Best: 1.60, Avg: 1.60, Steps: 300
DEBUG:simulator.py:[Training 143/1000 episodes] ε: 0.4908, Best: 1.64, Avg: 1.64, Steps: 300
DEBUG:simulator.py:[Training 144/1000 episodes] ε: 0.4883, Best: 1.69, Avg: 1.69, Steps: 300
DEBUG:simulator.py:[Training 145/1000 episodes] ε: 0.4859, Best: 1.72, Avg: 1.72, Steps: 300
DEBUG:simulator.py:[Training 146/1000 episodes] ε: 0.4834, Best: 1.72, Avg: 1.72, Steps: 300
DEBUG:simulator.py:[Training 147/1000 episodes] ε: 0.4810, Best: 1.78, Avg: 1.78, Steps: 300
